sample_id,week_number,label_valid,quality_code,trade_taken,evidence_explicit,independent_sample,context_liquidity_tf_minutes,session_eligible,holiday_eligible,news_eligible,htf_location_required,htf_poi_present,target_room_sufficient,context_liquidity_present,higher_tf_context_liquidity_present,required_liquidity_taken,liquidity_event_present,impulse_confirmed,impulse_created_imbalance,entry_imbalance_created,structure_change_confirmed,structure_break_by_close,candle_formation_confirmed,poi_is_orderblock,inducement_exists_before_retest,entry_zone_defined,retracement_into_entry_zone,entry_trigger_confirmed,chase_attempted,timing_eligible_at_entry,impulse_plus_imbalance,body_structure_confirmation,confirmation_count,context_hard_pass,entry_hard_pass,expected_reason_count
W01-N01,1,0,0,0,1,1,60,1,1,1,0,,1,1,1,0,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,1
W01-P01,1,1,2,,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W03-N01,3,0,0,0,1,1,60,1,0,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,0,1,1
W03-N02,3,0,0,0,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,0,0,0,0,,1,1,1,0,1,1,0,1,1,1,1
W03-N03,3,0,0,0,1,1,60,1,1,1,0,,1,1,1,1,1,0,1,1,1,1,0,0,,1,1,1,0,1,0,1,1,1,1,1
W04-P01,4,1,1,1,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W05-N01,5,0,0,0,1,1,60,1,1,1,0,,1,1,1,0,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,1
W07-P01,7,1,2,,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W07-N01,7,0,0,0,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,0,0,0,0,,1,1,1,0,1,1,0,1,1,1,1
W07-P02,7,1,2,,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W07-N02,7,0,0,0,1,1,60,1,1,1,0,,1,1,1,0,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,1
W07-P03,7,1,2,,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W07-N03,7,0,0,0,1,1,60,1,1,1,0,,1,1,1,0,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,1
W08-N01,8,0,0,0,1,1,60,0,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,0,1,1,2,0,0,2
W08-P01,8,1,2,,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W08-N02,8,0,0,0,1,1,60,0,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,0,1,1,2,0,0,2
W08-P02,8,1,3,,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W08-N03,8,0,0,0,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,0,0,0,0,,1,1,1,0,1,1,0,1,1,1,1
W08-N04,8,0,0,0,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,2,1,1,1
W08-P03,8,1,2,1,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W08-N05,8,0,0,0,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,0,0,0,0,,1,1,1,0,1,1,0,1,1,1,1
W08-P04,8,1,2,,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W08-P05,8,1,2,1,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W08-N06,8,0,0,0,1,1,60,1,1,0,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,0,1,1
W09-N01,9,0,0,0,1,1,60,1,1,1,0,,1,1,1,0,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,1
W09-N02,9,0,0,0,1,1,60,1,1,1,0,,1,1,1,1,1,0,0,0,1,1,0,0,,1,1,1,0,1,0,1,1,1,1,3
W09-N03,9,0,0,0,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,0,1,1,2,1,0,1
W09-N04,9,0,0,0,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,0,0,0,0,,1,1,1,0,1,1,0,1,1,1,1
W09-P01,9,1,2,,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W09-N05,9,0,0,0,1,1,60,1,1,1,0,,0,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,0,1,1
W09-N06,9,0,0,0,1,1,60,1,1,1,0,,1,0,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,0,1,1
W10-P01,10,1,2,,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W10-P02,10,1,2,1,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W10-N01,10,0,0,0,1,1,60,1,1,0,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,0,1,1
W10-N02,10,0,0,0,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,0,1,1,2,1,0,1
W10-P03,10,1,2,,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W10-N03,10,0,0,0,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,0,0,0,,1,1,1,0,1,1,0,1,1,1,1
W10-N04,10,0,0,0,1,1,60,0,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,0,1,1,2,0,0,2
W10-P04,10,1,1,1,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,1,1,1,2,1,1,0
W10-N05,10,0,0,0,1,1,60,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,0,0,1,1,2,1,0,1
